Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
53,True,2020-February-12 18:33,ta/d_dataset_t1/control_data,cnn_bilstm,0.1561909121557483,0.3845971524715424,0.27614408705880034,0.1566234140703162,0.3849371671676636,0.27297312400993323,0.15440646117752038,0.3826932907104492,0.28660598296450457,,,134.01595401763916,16.0,15.0,0.01,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
54,True,2020-February-12 18:36,ta/d_dataset_t1/control_data,cnn_bigru,0.18894083909413809,0.4259490966796875,0.13251730855621102,0.1896647027922929,0.4266947507858277,0.12958868052683725,0.1889789291938872,0.4261499345302582,0.1351550708315572,,,135.7270622253418,17.0,15.0,0.01,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
55,True,2020-February-12 18:38,ta/d_dataset_t1/control_data,baseline,0.13374879110768345,0.3543069660663605,0.37525505393307534,0.13675837856166911,0.3575540781021118,0.3612283096931413,0.13472680005854978,0.3558962345123291,0.3724241601396929,,,126.91087675094604,118.0,15.0,0.0001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
56,True,2020-February-12 18:59,ta/d_dataset_t1/control_data,FCNN,0.10481685665523847,0.30766651034355164,0.5021978752462727,0.1099825224055691,0.31462207436561584,0.4799150649700884,0.10749189897324957,0.3120298683643341,0.4931998630378934,,,1250.6385126113894,462.0,15.0,0.0001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
57,True,2020-February-12 19:11,ta/d_dataset_t1/control_data,lstm,0.08470977653883853,0.2751190960407257,0.592088388452965,0.10690931249931156,0.3067100942134857,0.4935766184339714,0.10242123748236966,0.3006103038787842,0.5161757355078229,,,700.4457218647003,131.0,15.0,0.0001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
58,True,2020-February-12 19:36,ta/d_dataset_t1/control_data,gru,0.09222107593806247,0.2869277596473694,0.5571306990821335,0.1080198489993317,0.3092297613620758,0.4879732761819902,0.10443789561277522,0.3036646842956543,0.5068969183176675,,,1483.2699840068815,294.0,15.0,0.0001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
59,True,2020-February-12 19:45,ta/d_dataset_t1/control_data,bilstm,0.07675181674759841,0.2625499367713928,0.6269236946163614,0.11079056155913083,0.3127250075340271,0.4767034448976058,0.10634758757870924,0.3060931861400604,0.4972262520790722,,,527.4737365245819,61.0,15.0,0.0001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
60,True,2020-February-12 20:06,ta/d_dataset_t1/control_data,bigru,0.08406083712163889,0.27420952916145325,0.5951441031358519,0.10458002441580264,0.30406785011291504,0.5036012056987849,0.1004694368815776,0.2981733977794647,0.5253024478827595,,,1190.6905996799471,148.0,15.0,0.0001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
61,True,2020-February-12 20:13,ta/d_dataset_t1/control_data,cnn_bilstm,0.07986427854208318,0.2675364315509796,0.6139288211735983,0.10657141760612884,0.3063165843486786,0.4958599189313695,0.10364599007238734,0.302265465259552,0.51066252964814,,,398.2194995880127,52.0,15.0,0.0001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
62,True,2020-February-12 20:28,ta/d_dataset_t1/control_data,cnn_bigru,0.08302716691278852,0.2721574902534485,0.5982647091165293,0.10607478567220904,0.30575281381607056,0.4982202532115526,0.10194739697236188,0.29972898960113525,0.5182329887698325,,,860.9818499088287,121.0,15.0,0.0001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
63,True,2020-February-12 20:28,ta/d_dataset_t1/control_data,baseline,0.15230763110857154,0.3778893649578095,0.2831020166495938,0.15591457723584054,0.3817520439624785,0.2655572766533349,0.15229924522693467,0.3781420290470123,0.28557913055421114,,,14.007462739944458,12.0,5.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
64,True,2020-February-12 20:30,ta/d_dataset_t1/control_data,FCNN,0.1058328176467232,0.3093897402286529,0.4967315931812818,0.11249614921826624,0.318180114030838,0.4683076318535038,0.10923317736009404,0.314275860786438,0.4844193924899668,,,102.75709223747252,37.0,5.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
65,True,2020-February-12 20:33,ta/d_dataset_t1/control_data,lstm,0.08158261836562274,0.2695406079292297,0.6062528045972049,0.10592600807913503,0.3051162362098694,0.4968426083787905,0.10206394202620013,0.2991589903831482,0.5166802554403269,,,131.87886142730713,23.0,5.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
66,True,2020-February-12 20:35,ta/d_dataset_t1/control_data,gru,0.08784304365200836,0.2802333831787109,0.5770734899005927,0.10642683643449856,0.3070698082447052,0.4952757125383624,0.10313630879759313,0.3020331859588623,0.5113360605142655,,,144.26115584373474,27.0,5.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
